league,season,match_id,match_date,team_id,team,side,mslb,regime,dD_base,dD_after_aging,dD_final,abs_dD_base,abs_dD_after_aging,abs_dD_final,dS,dP_fav,dP_x,dP_dog,abs_dah,abs_dtot,month
Ligue 1,2024-25,8239,2025-03-30,87,Brest,away,27,stable,-0.22816509381730227,-0.012484068654555425,0.03655643696898436,0.22816509381730227,0.012484068654555425,0.03655643696898436,-0.07971141730436049,-0.540027335854526,-0.10710391254876717,0.6471312484032959,0.0,0.0,3
Ligue 1,2024-25,8240,2025-03-30,89,Angers,home,27,stable,0.20606701075995193,-0.10394461188874626,-0.002746078322383827,0.20606701075995193,0.10394461188874626,0.002746078322383827,-0.060309797273854215,-1.612094736230446,-0.8133088804828215,2.4254036167132815,0.25,0.0,3
Ligue 1,2024-25,8240,2025-03-30,79,Rennes,away,27,stable,0.20606701075995193,-0.10394461188874626,-0.002746078322383827,0.20606701075995193,0.10394461188874626,0.002746078322383827,-0.060309797273854215,-1.612094736230446,-0.8133088804828215,2.4254036167132815,0.25,0.0,3
Ligue 1,2024-25,8241,2025-03-30,91,Auxerre,home,28,stable,-0.4710805550930765,-0.13293246165117623,-0.03095868856791928,0.4710805550930765,0.13293246165117623,0.03095868856791928,0.13362041328850394,-2.04224135589669,-0.1979843333410114,2.2402256892376986,0.0,0.0,3
Ligue 1,2024-25,8241,2025-03-30,104,Montpellier,away,27,stable,-0.4710805550930765,-0.13293246165117623,-0.03095868856791928,0.4710805550930765,0.13293246165117623,0.03095868856791928,0.13362041328850394,-2.04224135589669,-0.1979843333410114,2.2402256892376986,0.0,0.0,3
Ligue 1,2024-25,8242,2025-03-30,84,Le Havre,home,27,stable,-0.22452158790421733,0.015522790955951882,0.03320519143955741,0.22452158790421733,0.015522790955951882,0.03320519143955741,-0.06967829190960817,-0.20925482314924637,0.5342580893073656,-0.32500326615815256,0.0,0.0,3
Ligue 1,2024-25,8242,2025-03-30,95,Nantes,away,27,stable,-0.22452158790421733,0.015522790955951882,0.03320519143955741,0.22452158790421733,0.015522790955951882,0.03320519143955741,-0.06967829190960817,-0.20925482314924637,0.5342580893073656,-0.32500326615815256,0.0,0.0,3
Ligue 1,2024-25,8243,2025-03-30,88,Lille,home,27,stable,-0.1274287420575554,-0.04207510338200232,0.021514272344301033,0.1274287420575554,0.04207510338200232,0.021514272344301033,0.05269284935198426,-0.8537097056751375,-0.8434292475431204,1.6971389532182801,0.25,0.25,3
Ligue 1,2024-25,8243,2025-03-30,81,Lens,away,27,stable,-0.1274287420575554,-0.04207510338200232,0.021514272344301033,0.1274287420575554,0.04207510338200232,0.021514272344301033,0.05269284935198426,-0.8537097056751375,-0.8434292475431204,1.6971389532182801,0.25,0.25,3
Ligue 1,2024-25,8244,2025-04-04,85,Nice,home,28,stable,-0.30507233784147403,-0.1726179811086932,-0.059155288334905354,0.30507233784147403,0.1726179811086932,0.059155288334905354,-0.3047089305417323,-2.535348783948521,2.321645212309295,0.2137035716392427,0.0,0.25,4
Ligue 1,2024-25,8244,2025-04-04,95,Nantes,away,28,stable,-0.30507233784147403,-0.1726179811086932,-0.059155288334905354,0.30507233784147403,0.1726179811086932,0.059155288334905354,-0.3047089305417323,-2.535348783948521,2.321645212309295,0.2137035716392427,0.0,0.25,4
Ligue 1,2024-25,8245,2025-04-05,96,Paris SG,home,28,stable,-0.27967724326619026,0.07158231907078072,0.25929122950431305,0.27967724326619026,0.07158231907078072,0.25929122950431305,-0.09948143400397624,0.8275133901394116,-0.31071686975274737,-0.5167965203866896,0.25,0.0,4
Ligue 1,2024-25,8245,2025-04-05,89,Angers,away,28,stable,-0.27967724326619026,0.07158231907078072,0.25929122950431305,0.27967724326619026,0.07158231907078072,0.25929122950431305,-0.09948143400397624,0.8275133901394116,-0.31071686975274737,-0.5167965203866896,0.25,0.0,4
Ligue 1,2024-25,8246,2025-04-05,87,Brest,home,28,stable,-0.38054465344813626,-0.21294688644091386,-0.08299577897197552,0.38054465344813626,0.21294688644091386,0.08299577897197552,-0.2755329620631999,-3.2887855686961953,0.4023276414773347,2.8864579272188493,0.25,0.25,4
Ligue 1,2024-25,8246,2025-04-05,83,Monaco,away,28,stable,-0.38054465344813626,-0.21294688644091386,-0.08299577897197552,0.38054465344813626,0.21294688644091386,0.08299577897197552,-0.2755329620631999,-3.2887855686961953,0.4023276414773347,2.8864579272188493,0.25,0.25,4
Ligue 1,2024-25,8247,2025-04-05,82,Lyon,home,28,stable,-0.1310703724808304,-0.017261839933951084,0.005591693531380837,0.1310703724808304,0.017261839933951084,0.005591693531380837,0.08294992951861913,-0.10686812300755855,-1.3466390588218136,1.4535071818293555,0.0,0.0,4
Ligue 1,2024-25,8247,2025-04-05,88,Lille,away,28,stable,-0.1310703724808304,-0.017261839933951084,0.005591693531380837,0.1310703724808304,0.017261839933951084,0.005591693531380837,0.08294992951861913,-0.10686812300755855,-1.3466390588218136,1.4535071818293555,0.0,0.0,4
Ligue 1,2024-25,8248,2025-04-06,81,Lens,home,28,stable,0.41460427595811167,0.1655600566738531,0.25140398334667347,0.41460427595811167,0.1655600566738531,0.25140398334667347,-0.013744045300194685,3.691009316477045,-1.131707277508684,-2.5593020389683474,0.25,0.0,4
Ligue 1,2024-25,8248,2025-04-06,106,St Etienne,away,29,stable,0.41460427595811167,0.1655600566738531,0.25140398334667347,0.41460427595811167,0.1655600566738531,0.25140398334667347,-0.013744045300194685,3.691009316477045,-1.131707277508684,-2.5593020389683474,0.25,0.0,4
Ligue 1,2024-25,8249,2025-04-06,104,Montpellier,home,28,stable,0.352913406751639,0.3070716936970329,0.3377930266142165,0.352913406751639,0.3070716936970329,0.3377930266142165,0.04477620707139618,8.434864782721913,-1.4280127043232005,-7.006852078398729,0.25,0.0,4
Ligue 1,2024-25,8249,2025-04-06,84,Le Havre,away,28,stable,0.352913406751639,0.3070716936970329,0.3377930266142165,0.352913406751639,0.3070716936970329,0.3377930266142165,0.04477620707139618,8.434864782721913,-1.4280127043232005,-7.006852078398729,0.25,0.0,4
Ligue 1,2024-25,8250,2025-04-06,105,Reims,home,28,stable,-0.7748020569192955,-0.17480205691929546,-0.06425534552796286,0.7748020569192955,0.17480205691929546,0.06425534552796286,0.058151908522179774,-2.0372886579835328,-0.27458212872041865,2.311870786703923,0.0,0.0,4
Ligue 1,2024-25,8250,2025-04-06,94,Strasbourg,away,28,stable,-0.7748020569192955,-0.17480205691929546,-0.06425534552796286,0.7748020569192955,0.17480205691929546,0.06425534552796286,0.058151908522179774,-2.0372886579835328,-0.27458212872041865,2.311870786703923,0.0,0.0,4
Ligue 1,2024-25,8251,2025-04-06,79,Rennes,home,28,stable,0.37158682330811177,0.11401758050224386,0.1653037756470369,0.37158682330811177,0.11401758050224386,0.1653037756470369,-0.07873945499517765,2.5938298393148984,-0.7843212472571082,-1.809508592057768,0.25,0.0,4
Ligue 1,2024-25,8251,2025-04-06,91,Auxerre,away,29,stable,0.37158682330811177,0.11401758050224386,0.1653037756470369,0.37158682330811177,0.11401758050224386,0.1653037756470369,-0.07873945499517765,2.5938298393148984,-0.7843212472571082,-1.809508592057768,0.25,0.0,4
Ligue 1,2024-25,8252,2025-04-06,80,Marseille,home,28,stable,0.14133898800959732,0.23127209444655095,0.3048761051262774,0.14133898800959732,0.23127209444655095,0.3048761051262774,-0.08420736729307254,5.630014241771464,-1.4354492741950553,-4.1945649675764,0.25,0.0,4
Ligue 1,2024-25,8252,2025-04-06,86,Toulouse,away,28,stable,0.14133898800959732,0.23127209444655095,0.3048761051262774,0.14133898800959732,0.23127209444655095,0.3048761051262774,-0.08420736729307254,5.630014241771464,-1.4354492741950553,-4.1945649675764,0.25,0.0,4
Ligue 1,2024-25,8253,2025-04-11,81,Lens,home,29,stable,-0.18754938791728493,0.107082644413802,0.18660398066550155,0.18754938791728493,0.107082644413802,0.18660398066550155,-0.08013657372854022,2.6946780150007843,-1.307907103129327,-1.3867709118714933,0.0,0.0,4
Ligue 1,2024-25,8253,2025-04-11,105,Reims,away,29,stable,-0.18754938791728493,0.107082644413802,0.18660398066550155,0.18754938791728493,0.107082644413802,0.18660398066550155,-0.08013657372854022,2.6946780150007843,-1.307907103129327,-1.3867709118714933,0.0,0.0,4
Ligue 1,2024-25,8254,2025-04-12,83,Monaco,home,29,stable,-0.26287756684025787,-0.32129371320118627,-0.2018279338357888,0.26287756684025787,0.32129371320118627,0.2018279338357888,-0.19997920690504412,-5.863482555023242,1.3638910371807922,4.499591517842466,0.25,0.25,4
Ligue 1,2024-25,8254,2025-04-12,80,Marseille,away,29,stable,-0.26287756684025787,-0.32129371320118627,-0.2018279338357888,0.26287756684025787,0.32129371320118627,0.2018279338357888,-0.19997920690504412,-5.863482555023242,1.3638910371807922,4.499591517842466,0.25,0.25,4
Ligue 1,2024-25,8255,2025-04-12,86,Toulouse,home,29,stable,0.04524237099726733,-0.09308964334447978,-0.014538267467929494,0.04524237099726733,0.09308964334447978,0.014538267467929494,0.02425234183199043,-0.798711071879693,-1.2020450001637706,2.0007560720434525,0.0,0.0,4
Ligue 1,2024-25,8255,2025-04-12,88,Lille,away,29,stable,0.04524237099726733,-0.09308964334447978,-0.014538267467929494,0.04524237099726733,0.09308964334447978,0.014538267467929494,0.02425234183199043,-0.798711071879693,-1.2020450001637706,2.0007560720434525,0.0,0.0,4
Ligue 1,2024-25,8256,2025-04-12,94,Strasbourg,home,29,stable,0.05963435551835797,-0.03633360567839122,-0.02070147829201409,0.05963435551835797,0.03633360567839122,0.02070147829201409,-0.1948070713662431,-0.16666543339328155,-0.09018668411616693,0.2568521175094485,0.0,0.25,4
Ligue 1,2024-25,8256,2025-04-12,85,Nice,away,29,stable,0.05963435551835797,-0.03633360567839122,-0.02070147829201409,0.05963435551835797,0.03633360567839122,0.02070147829201409,-0.1948070713662431,-0.16666543339328155,-0.09018668411616693,0.2568521175094485,0.0,0.25,4
Ligue 1,2024-25,8257,2025-04-13,106,St Etienne,home,30,stable,-0.06740323781912388,-0.09273374097750559,0.001997619215226454,0.06740323781912388,0.09273374097750559,0.001997619215226454,-0.40685818166501386,-1.7221382602075952,1.9599867113751808,-0.23784845116761044,0.0,0.5,4
Ligue 1,2024-25,8257,2025-04-13,87,Brest,away,29,stable,-0.06740323781912388,-0.09273374097750559,0.001997619215226454,0.06740323781912388,0.09273374097750559,0.001997619215226454,-0.40685818166501386,-1.7221382602075952,1.9599867113751808,-0.23784845116761044,0.0,0.5,4
Ligue 1,2024-25,8258,2025-04-13,89,Angers,home,29,stable,-0.5701005679412263,-0.2467669304584869,-0.12134526638863741,0.5701005679412263,0.2467669304584869,0.12134526638863741,0.0784931541150935,-4.344723077340523,0.08957385964003528,4.255149217700488,0.0,0.0,4
