league,season,team_id,team,n_long_break,n_stable,dD_base_lb,dD_base_st,abs_dD_base_lb,abs_dD_base_st,dD_final_lb,dD_final_st,dP_dog_lb,dP_dog_st,mae_ah_lb,mae_ah_st,mae_tot_lb,mae_tot_st
Ligue 1,2024-25,95,Nantes,1,29,-0.0582357861322888,-0.06980749375011393,0.0582357861322888,0.21956134900491528,0.007058267467945245,0.050218784449117274,1.459428286224479,0.2923052960341739,0.0,0.12931034482758622,0.25,0.14655172413793102
Ligue 1,2024-25,96,Paris SG,1,29,-0.030519777422500116,-0.29587354469081695,0.030519777422500116,0.3254707237693303,-0.10160861001990673,0.0544969939895618,2.914532074764051,0.7394182431555761,0.0,0.25,0.0,0.14655172413793102
Ligue 1,2025-26,79,Rennes,1,29,-0.4403800484523415,-0.1989136543302748,0.4403800484523415,0.29612291881268665,-0.12900980757562908,-0.0809685154892712,3.8700274946703193,2.18380326070516,0.0,0.21551724137931033,0.0,0.21551724137931033
Ligue 1,2025-26,80,Marseille,1,29,-0.4403800484523415,-0.04672659990643826,0.4403800484523415,0.1807143147257646,-0.12900980757562908,0.04762308650344405,3.8700274946703193,-0.06635565653277493,0.0,0.09482758620689655,0.0,0.19827586206896552
Ligue 1,2025-26,81,Lens,1,28,0.2210684925144839,-0.21771057220846202,0.2210684925144839,0.33479914364475133,-0.03099582953317405,-0.011522321047340255,2.3316467854511194,0.9705302629103137,0.25,0.19642857142857142,0.25,0.19642857142857142
Ligue 1,2025-26,82,Lyon,1,28,0.2210684925144839,-0.04052059173421196,0.2210684925144839,0.19960233025552312,-0.03099582953317405,0.02448086082571346,2.3316467854511194,1.241390552793811,0.25,0.125,0.25,0.20535714285714285
Ligue 1,2025-26,83,Monaco,1,29,-0.5248358562025239,-0.02921335019879707,0.5248358562025239,0.256131952258658,-0.23076553002498823,0.050270626587943096,2.811094629069709,0.6720833768965724,0.25,0.16379310344827586,0.0,0.15517241379310345
Ligue 1,2025-26,84,Le Havre,1,28,-0.5248358562025239,0.04176397720755971,0.5248358562025239,0.19911085182673288,-0.23076553002498823,0.09823519692943035,2.811094629069709,-0.5263787488816447,0.25,0.13392857142857142,0.0,0.1875
Ligue 1,2025-26,85,Nice,1,28,0.15540574081562664,-0.18296828694908066,0.15540574081562664,0.45227612918191673,0.39770467573235246,-0.0009157074138555493,-4.789543931149195,1.1340374532008972,0.25,0.1875,0.0,0.125
Ligue 1,2025-26,86,Toulouse,1,29,0.15540574081562664,-0.10041810776168515,0.15540574081562664,0.2174941041234238,0.39770467573235246,0.01604130903656867,-4.789543931149195,1.4726271847186652,0.25,0.1724137931034483,0.0,0.15517241379310345
Ligue 1,2025-26,87,Brest,1,29,-0.38759239525579603,-0.10790876577841342,0.38759239525579603,0.2561644633320739,-0.6589801181438745,0.021884059367419748,16.31765936104541,0.8911426146663174,0.5,0.16379310344827586,0.25,0.15517241379310345
Ligue 1,2025-26,88,Lille,1,29,-0.38759239525579603,-0.13497184022178998,0.38759239525579603,0.26810673020583675,-0.6589801181438745,-0.005056349362745495,16.31765936104541,1.0741810171701727,0.5,0.2672413793103448,0.25,0.15517241379310345
Ligue 1,2025-26,89,Angers,1,29,-0.4044888651688023,0.03246713312165801,0.4044888651688023,0.21289755842281283,-0.31862670166678364,0.108261845352357,8.368354471667333,-0.6735571035907328,0.5,0.15517241379310345,0.25,0.14655172413793102
Ligue 1,2025-26,91,Auxerre,1,29,0.20076912186784474,-0.011296920596154635,0.20076912186784474,0.15121004745421002,0.08428618821462922,0.1048456512442934,-0.8377701019218253,0.22324698337706833,0.25,0.10344827586206896,0.25,0.13793103448275862
Ligue 1,2025-26,92,Lorient,1,28,0.20076912186784474,-0.0005489841917087077,0.20076912186784474,0.21851810611063568,0.08428618821462922,0.031051520077899686,-0.8377701019218253,1.165641743038378,0.25,0.17857142857142858,0.25,0.16071428571428573
Ligue 1,2025-26,93,Metz,1,28,-0.28501447771306526,-0.13809482193463776,0.28501447771306526,0.22372183047186933,-0.003113211156001161,0.06112623595831044,1.0143240832609175,-0.8532533889414466,0.0,0.21428571428571427,0.0,0.23214285714285715
Ligue 1,2025-26,94,Strasbourg,1,29,-0.28501447771306526,-0.128491834307788,0.28501447771306526,0.4019361168013429,-0.003113211156001161,0.033009861344915986,1.0143240832609175,0.5262229682586002,0.0,0.28448275862068967,0.0,0.19827586206896552
Ligue 1,2025-26,95,Nantes,1,29,-0.6072423895267769,-0.1718733016760471,0.6072423895267769,0.26460536707735477,-0.5187035673913212,0.03997595982827378,6.092934622338658,0.10365953309828133,0.5,0.13793103448275862,0.25,0.10344827586206896
Ligue 1,2025-26,96,Paris SG,1,29,-0.6072423895267769,-0.12016705271793633,0.6072423895267769,0.30440746467725044,-0.5187035673913212,0.13012972071296144,6.092934622338658,-0.08183709232858845,0.5,0.2672413793103448,0.25,0.20689655172413793
Serie A,2024-25,107,Empoli,1,33,-0.1209671940067738,0.003530168455973938,0.1209671940067738,0.1852446720819529,0.15316386721582148,0.11590042326454685,-0.7930629817770429,-0.07240488594167924,0.0,0.1893939393939394,0.25,0.1893939393939394
Serie A,2024-25,109,Monza,1,33,-0.1209671940067738,-0.3139345159583619,0.1209671940067738,0.410588703917102,0.15316386721582148,-0.009763161025738893,-0.7930629817770429,1.1962057315986236,0.0,0.17424242424242425,0.25,0.12878787878787878
Serie A,2024-25,59,Atalanta,1,33,0.24468948184212402,-0.16315590071820582,0.24468948184212402,0.3104578146568143,0.2901291778119208,0.06279542421229099,-4.338987863066604,-0.03580653984955206,0.25,0.18181818181818182,0.25,0.1590909090909091
Serie A,2024-25,60,Bologna,1,33,0.27125123938871754,-0.08351161442752499,0.27125123938871754,0.23740681030338923,0.3454090015649829,0.0016379111823231131,-5.427261927901661,1.6574052435988251,0.5,0.16666666666666666,0.0,0.10606060606060606
Serie A,2024-25,61,Cagliari,1,32,0.10335315623376062,-0.06985042430178068,0.10335315623376062,0.1815138236896584,0.013562105770259236,0.011141559120340053,-0.26500659426443307,1.652835574551873,0.0,0.1640625,0.25,0.140625
Serie A,2024-25,64,Fiorentina,1,33,0.27541620469284234,-0.0562917965061378,0.27541620469284234,0.2498508222153828,0.39423601906345684,0.07651667118855446,-6.506650693252674,0.1326272517361935,0.5,0.1590909090909091,0.0,0.14393939393939395
Serie A,2024-25,65,Genoa,1,33,-0.06940250328100817,-0.09131755044018977,0.06940250328100817,0.21497457601081904,0.03968862710380927,0.08035392171890036,0.17291396411732718,-0.19042315632286974,0.0,0.18181818181818182,0.0,0.13636363636363635
Serie A,2024-25,66,Inter,1,33,-0.06940250328100817,0.06251012749598983,0.06940250328100817,0.21737502609907702,0.03968862710380927,0.11322552541176321,0.17291396411732718,0.2324182419720246,0.0,0.17424242424242425,0.0,0.14393939393939395
Serie A,2024-25,67,Juventus,1,33,0.5129980061877373,-0.043656243388837064,0.5129980061877373,0.16732877482092412,0.6098595265258897,0.09274654478622436,-5.7246336480736115,-0.4415359910712069,0.5,0.1590909090909091,0.25,0.13636363636363635
Serie A,2024-25,68,Lazio,1,33,-0.18924194812035422,-0.1226292332268761,0.18924194812035422,0.24038327110285504,0.037546148897182,0.00377789202234584,0.2589643660706076,1.1226065447426337,0.0,0.1590909090909091,0.0,0.09848484848484848
Serie A,2024-25,69,Lecce,1,33,0.24468948184212402,-0.130731483697721,0.24468948184212402,0.2545063037293535,0.2901291778119208,0.05382403176181245,-4.338987863066604,0.32484349668243084,0.25,0.14393939393939395,0.25,0.17424242424242425
Serie A,2024-25,70,Milan,1,33,-0.3503252972467785,-0.07531588858143581,0.3503252972467785,0.21138828181902056,-0.22803895118277906,0.008219868675364127,2.560445401553163,1.1101851245462482,0.25,0.17424242424242425,0.5,0.15151515151515152
Serie A,2024-25,71,Napoli,1,33,-0.00017363279450688385,-0.16433135675359012,0.00017363279450688385,0.2448319468028916,0.005027784496009935,0.015556913278699593,2.069878958663382,1.6723774341354078,0.0,0.14393939393939395,0.0,0.16666666666666666
Serie A,2024-25,74,Roma,1,33,0.10335315623376062,-0.08925882940901986,0.10335315623376062,0.24144865123624643,0.013562105770259236,0.06949520095269564,-0.26500659426443307,-0.291635292943014,0.0,0.18181818181818182,0.25,0.13636363636363635
Serie A,2024-25,76,Torino,1,32,-0.3503252972467785,-0.13260158621684234,0.3503252972467785,0.29504058872398037,-0.22803895118277906,0.047993877075320664,2.560445401553163,0.6147142526793399,0.25,0.2421875,0.5,0.125
Serie A,2024-25,77,Udinese,1,33,0.27125123938871754,-0.05206005973500247,0.27125123938871754,0.1792643423126922,0.3454090015649829,0.08024115512514181,-5.427261927901661,0.08308466757324882,0.5,0.1590909090909091,0.0,0.06818181818181818
Serie A,2024-25,78,Verona,1,33,-0.00017363279450688385,-0.032003310392113,0.00017363279450688385,0.17935665456889632,0.005027784496009935,0.10470009599553534,2.069878958663382,-0.04401483675770586,0.0,0.20454545454545456,0.0,0.17424242424242425
Serie A,2025-26,59,Atalanta,1,32,0.40686236979067303,-0.010327053959606185,0.40686236979067303,0.1786171755984907,0.36125073605708447,0.07575792627455914,-1.965525625516852,-0.19774145447502403,0.5,0.0859375,0.25,0.140625
Serie A,2025-26,60,Bologna,1,32,0.0895869106032659,-0.005705344711229424,0.0895869106032659,0.175318275709445,0.14572144589893188,0.08176781928447935,-1.9934081187203438,-0.5825813234894416,0.25,0.1015625,0.0,0.1328125
Serie A,2025-26,61,Cagliari,1,32,0.22392128799510647,-0.07903170741062035,0.22392128799510647,0.19090396225563608,0.29911733170319754,0.06627755706777186,-4.191282479679775,0.776154325552523,0.0,0.140625,0.25,0.140625
Serie A,2025-26,62,Como,1,33,-0.2983987716727043,-0.265934960363698,0.2983987716727043,0.46661358643942796,-0.43077452396806604,0.020731870395472876,10.97120646413321,0.8547893654079649,0.5,0.15151515151515152,0.0,0.12878787878787878
Serie A,2025-26,64,Fiorentina,1,31,0.22392128799510647,0.010987425571946487,0.22392128799510647,0.19667277057029825,0.29911733170319754,0.08269010774632503,-4.191282479679775,-0.3056987990858891,0.0,0.07258064516129033,0.25,0.12903225806451613
