series,arm,d_scale,s_scale,league,home,away,ah_mkt,tot_mkt,ah_pred,tot_pred,dah,dtot,abs_dah,abs_dtot,flip_ah,fav_mkt,fav_mod,o1,ox,o2,b1m,bxm,b2m,d1_odds,dx_odds,d2_odds,overround_pct,flip_1x2,d_base,d_dyn_full,d_corr_applied,d_final,d_market,s_base,s_corr_applied,s_final,days_since_home,days_since_away,days_since_min
BOTH,DECAY75,0.75,0.75,Serie A,Udinese,Como,0.5,2.25,1.0,2.5,0.5,0.25,0.5,0.25,False,A,A,4.5,3.52,1.826,6.650258554126106,3.826055091505043,1.557093113990074,2.150258554126106,0.30605509150504284,-0.26890688600992596,5.395825727151027,False,-0.64762748104862,-1.061765176423683,-0.3106032715312973,-1.0403518934046818,-0.5,2.500582509240519,0.08575697600121557,2.5863394852417345,90,83,83
BOTH,DECAY75,0.75,0.75,Serie A,Genoa,Napoli,0.5,2.25,1.0,2.0,0.5,-0.25,0.5,0.25,False,A,A,4.98,3.24,1.84,8.285166114025087,3.6694414201401386,1.515829581337096,3.305166114025086,0.4294414201401384,-0.32417041866290397,5.292344902961288,False,-0.6442761461016218,-1.1155499626613707,-0.35345536241981174,-1.0833426147995668,-0.5,2.1307561802324626,0.11898083468581822,2.249737014918281,83,90,83
BOTH,DECAY50,0.5,0.5,Premier League,Nott'm Forest,Leeds,-0.25,2.5,-0.25,2.5,0.0,0.0,0.0,0.0,False,H,H,2.26,3.36,3.23,2.3896229868993566,3.3403192625884435,3.0134477136398834,0.1296229868993568,-0.019680737411556404,-0.21655228636011659,4.969444694505665,False,0.34055758626343235,-0.19610902338003655,-0.26833330482173445,0.17491749361991837,0.25,2.4673177077583075,0.08405263684449071,2.551370344602798,83,106,83
BOTH,DECAY50,0.5,0.5,Premier League,Everton,Crystal Palace,-0.25,2.5,-0.5,2.5,-0.25,0.0,0.25,0.0,False,H,H,2.15,3.41,3.42,1.996147513592178,3.4362121695607857,3.8641970743183207,-0.1538524864078219,0.026212169560785537,0.4441970743183208,5.076907185329027,False,0.21400298982738536,0.6968666917967474,0.24143185098468103,0.49185306662437633,0.25,2.456262798183097,0.08193490410355375,2.538197702286651,90,90,90
BOTH,DECAY50,0.5,0.5,Bundesliga,FC Koln,Hoffenheim,0.25,3.0,0.5,3.25,0.25,0.25,0.25,0.25,False,A,A,2.98,3.67,2.27,3.3824828925667165,3.915955583199754,2.0097580120297844,0.40248289256671654,0.2459555831997542,-0.2602419879702156,4.8578668192588825,False,-0.22823884077216705,-0.611620929829295,-0.19169104452856395,-0.45955237374019586,-0.25,3.1722305517822287,0.11087631651681429,3.283106868299043,97,98,97
BOTH,DECAY50,0.5,0.5,Bundesliga,Union Berlin,Ein Frankfurt,0.0,2.75,0.25,2.75,0.25,0.0,0.25,0.0,True,N,A,2.47,3.51,2.78,2.9338569026919075,3.6135148329184776,2.3154381883272386,0.46385690269190727,0.10351483291847785,-0.4645618116727612,4.947081471125392,True,0.03273656196232294,-0.3862372936052591,-0.20948692778379102,-0.19702337790465263,-0.0,2.797731138748441,0.18528754996083796,2.983018688709279,91,99,91
BOTH,DECAY50,0.5,0.5,Serie A,Udinese,Como,0.5,2.25,0.75,2.5,0.25,0.25,0.25,0.25,False,A,A,4.5,3.52,1.826,5.9340558426396335,3.674093297135995,1.6306205576210389,1.4340558426396335,0.15409329713599496,-0.1953794423789612,5.395825727151027,False,-0.64762748104862,-1.061765176423683,-0.20706884768753153,-0.9276700101304141,-0.5,2.500582509240519,0.05717131733414371,2.557753826574663,90,83,83
BOTH,DECAY50,0.5,0.5,Serie A,Genoa,Napoli,0.5,2.25,0.75,2.0,0.25,-0.25,0.25,0.25,False,A,A,4.98,3.24,1.84,7.1268481361580305,3.472822184129973,1.6008741482179218,2.14684813615803,0.2328221841299727,-0.23912585178207824,5.292344902961288,False,-0.6442761461016218,-1.1155499626613707,-0.2356369082798745,-0.9551146805138198,-0.5,2.1307561802324626,0.07932055645721214,2.2100767366896745,83,90,83
BOTH,DECAY25,0.25,0.25,Premier League,Nott'm Forest,Leeds,-0.25,2.5,-0.25,2.25,0.0,-0.25,0.0,0.25,False,H,H,2.26,3.36,3.23,2.24307383903001,3.3341716893743505,3.2899814614824696,-0.01692616096999,-0.025828310625649387,0.059981461482469633,4.969444694505665,False,0.34055758626343235,-0.19610902338003655,-0.13416665241086723,0.2850109757120965,0.25,2.4673177077583075,0.04202631842224536,2.509344026180553,83,106,83
BOTH,DECAY25,0.25,0.25,Premier League,Everton,Crystal Palace,-0.25,2.5,-0.25,2.25,0.0,-0.25,0.0,0.25,False,H,H,2.15,3.41,3.42,2.1126316766250506,3.3578322384709973,3.576351039560928,-0.03736832337494933,-0.05216776152900282,0.15635103956092822,5.076907185329027,False,0.21400298982738536,0.6968666917967474,0.12071592549234052,0.38918883153963435,0.25,2.456262798183097,0.040967452051776876,2.4972302502348738,90,90,90
