ts,event,id_fixture,fields
2026-07-15 18:19:44,start id_fixture,1585238568,
2026-07-15 18:19:45,ok id,1585238568,9
2026-07-15 18:20:42,start id_fixture,1585238532,
2026-07-15 18:20:43,ok id,1585238532,9
2026-07-15 18:20:56,start id_fixture,1585238533,
2026-07-15 18:20:58,ok id,1585238533,9
2026-07-15 18:21:07,start id_fixture,1585238566,
2026-07-15 18:21:08,ok id,1585238566,9
2026-07-15 18:21:19,start id_fixture,1585238563,
2026-07-15 18:21:21,ok id,1585238563,9
2026-07-15 18:24:37,start id_fixture,1585238539,
2026-07-15 18:24:38,ok id,1585238539,9
2026-07-15 18:24:50,start id_fixture,1585238562,
2026-07-15 18:24:51,ok id,1585238562,9
2026-07-15 18:25:01,start id_fixture,1585238545,
2026-07-15 18:25:02,ok id,1585238545,9
2026-07-15 18:25:13,start id_fixture,1585238564,
2026-07-15 18:25:14,ok id,1585238564,9
2026-07-15 18:25:42,start id_fixture,1585238544,
2026-07-15 18:25:43,ok id,1585238544,9
2026-07-15 21:16:18,start id_fixture,1585583100,
2026-07-15 21:16:19,ok id,1585583100,9
2026-07-15 21:26:17,start id_fixture,1585583098,
2026-07-15 21:26:17,ok id,1585583098,9
2026-07-15 21:26:29,start id_fixture,1585583099,
2026-07-15 21:26:30,ok id,1585583099,9
2026-07-15 21:26:42,start id_fixture,1585583102,
2026-07-15 21:26:43,ok id,1585583102,9
2026-07-15 21:30:12,start id_fixture,1585583097,
2026-07-15 21:30:13,ok id,1585583097,9
2026-07-15 21:30:41,start id_fixture,1585583126,
2026-07-15 21:30:42,ok id,1585583126,9
2026-07-15 21:30:54,start id_fixture,1585583103,
2026-07-15 21:30:54,ok id,1585583103,9
2026-07-15 21:31:06,start id_fixture,1585583104,
2026-07-15 21:31:07,ok id,1585583104,9
2026-07-15 21:31:20,start id_fixture,1585583096,
2026-07-15 21:31:21,ok id,1585583096,9
2026-07-15 21:32:31,start id_fixture,1586009297,
2026-07-15 21:32:32,ok id,1586009297,9
2026-07-15 21:33:14,start id_fixture,1586009316,
2026-07-15 21:33:16,ok id,1586009316,9
2026-07-15 21:33:27,start id_fixture,1586009295,
2026-07-15 21:33:29,ok id,1586009295,9
2026-07-15 21:33:47,start id_fixture,1586009296,
2026-07-15 21:33:48,ok id,1586009296,9
2026-07-15 21:33:59,start id_fixture,1586009308,
2026-07-15 21:34:00,ok id,1586009308,9
2026-07-15 21:34:54,start id_fixture,1586009298,
2026-07-15 21:34:55,ok id,1586009298,9
2026-07-15 21:35:06,start id_fixture,1586009310,
2026-07-15 21:35:07,ok id,1586009310,9
2026-07-15 21:35:26,start id_fixture,1586009309,
2026-07-15 21:35:27,ok id,1586009309,9
2026-07-15 21:35:40,start id_fixture,416435,
2026-07-15 21:35:41,userbet error id,416435,
2026-07-15 21:36:21,start id_fixture,1586009311,
2026-07-15 21:36:22,ok id,1586009311,9
2026-07-15 21:37:03,start id_fixture,1586009303,
2026-07-15 21:37:04,ok id,1586009303,9
2026-07-15 21:37:46,start id_fixture,1586426162,
2026-07-15 21:37:47,ok id,1586426162,9
2026-07-15 21:38:30,start id_fixture,1586426168,
2026-07-15 21:38:31,ok id,1586426168,9
2026-07-15 21:38:45,start id_fixture,1586426157,
2026-07-15 21:38:46,ok id,1586426157,9
2026-07-15 21:38:59,start id_fixture,1586426154,
2026-07-15 21:39:00,ok id,1586426154,9
2026-07-15 21:39:13,start id_fixture,1586426152,
2026-07-15 21:39:15,ok id,1586426152,9
2026-07-15 21:40:10,start id_fixture,1586426175,
2026-07-15 21:40:11,ok id,1586426175,9
2026-07-15 21:40:28,start id_fixture,1586426165,
2026-07-15 21:40:29,ok id,1586426165,9
2026-07-15 21:40:50,start id_fixture,1586426160,
2026-07-15 21:40:51,ok id,1586426160,9
2026-07-15 21:41:14,start id_fixture,1586426169,
2026-07-15 21:41:15,ok id,1586426169,9
2026-07-15 21:41:58,start id_fixture,1586426177,
2026-07-15 21:41:59,ok id,1586426177,9
2026-07-15 21:44:42,start id_fixture,1586889880,
2026-07-15 21:44:43,ok id,1586889880,9
2026-07-15 21:45:39,start id_fixture,1586909449,
2026-07-15 21:45:40,ok id,1586909449,9
2026-07-15 21:54:21,start id_fixture,1586889876,
2026-07-15 21:54:22,ok id,1586889876,9
2026-07-15 21:54:45,start id_fixture,1586889875,
2026-07-15 21:54:46,ok id,1586889875,9
2026-07-15 21:54:58,start id_fixture,1586889878,
2026-07-15 21:54:58,ok id,1586889878,9
2026-07-15 21:55:57,start id_fixture,1586889892,
2026-07-15 21:55:58,ok id,1586889892,9
2026-07-15 21:56:12,start id_fixture,1586889874,
2026-07-15 21:56:13,ok id,1586889874,9
2026-07-15 21:56:27,start id_fixture,1586889897,
2026-07-15 21:56:28,ok id,1586889897,9
2026-07-15 21:56:41,start id_fixture,1586889895,
2026-07-15 21:56:42,ok id,1586889895,9
2026-07-15 21:56:56,start id_fixture,1586889893,
2026-07-15 21:56:57,ok id,1586889893,9
2026-07-15 21:57:47,start id_fixture,1587357592,
2026-07-15 21:57:48,ok id,1587357592,9
2026-07-15 21:58:41,start id_fixture,1587357596,
2026-07-15 21:58:42,ok id,1587357596,9
2026-07-15 21:59:06,start id_fixture,1587357579,
2026-07-15 21:59:07,ok id,1587357579,9
2026-07-15 21:59:19,start id_fixture,1587357606,
2026-07-15 21:59:20,ok id,1587357606,9
2026-07-15 21:59:32,start id_fixture,1587357609,
2026-07-15 21:59:33,ok id,1587357609,9
2026-07-15 22:00:32,start id_fixture,1587357587,
2026-07-15 22:00:33,ok id,1587357587,9
2026-07-15 22:00:44,start id_fixture,1587357600,
2026-07-15 22:00:45,ok id,1587357600,9
2026-07-15 22:00:55,start id_fixture,1587357582,
2026-07-15 22:00:56,ok id,1587357582,9
2026-07-15 22:01:09,start id_fixture,1587357611,
2026-07-15 22:01:10,ok id,1587357611,9
2026-07-15 22:01:52,start id_fixture,1587357581,
2026-07-15 22:01:54,ok id,1587357581,9
2026-07-15 22:02:26,start id_fixture,1587775874,
2026-07-15 22:02:26,ok id,1587775874,9
2026-07-15 22:06:09,start id_fixture,1587775864,
2026-07-15 22:06:10,ok id,1587775864,9
2026-07-15 22:06:57,start id_fixture,1587775871,
2026-07-15 22:06:58,ok id,1587775871,9
2026-07-15 22:07:26,start id_fixture,1587775861,
2026-07-15 22:07:26,ok id,1587775861,9
2026-07-15 22:07:42,start id_fixture,1587775863,
2026-07-15 22:07:43,ok id,1587775863,9
2026-07-15 22:07:57,start id_fixture,1587775862,
2026-07-15 22:07:58,ok id,1587775862,9
2026-07-15 22:08:52,start id_fixture,1587775870,
2026-07-15 22:08:53,ok id,1587775870,9
2026-07-15 22:09:06,start id_fixture,1587775859,
2026-07-15 22:09:07,ok id,1587775859,9
2026-07-15 22:09:18,start id_fixture,1587775869,
