n,mae_ah,mae_tot,n_ah_ge_05,n_tot_ge_05,flip_ah_n,flip_ah_rate,flip_1x2_n,flip_1x2_rate,mae_odds_1,mae_odds_x,mae_odds_2,n_1x2,league,season,bucket,arm,harm_D_n,harm_D_mean,harm_D_pct_pos,harm_D_pct_neg,harm_S_n,harm_S_mean,harm_S_pct_pos,harm_S_pct_neg
20,0.175,0.15,2,0,6,0.3,4,0.2,0.3523688296023547,0.27515154480546783,0.6087385709624101,20,Serie A,2025-26,GW3-4,D_BASE,,,,,,,,
20,,,,,,,,,,,,,Serie A,2025-26,GW3-4,HARM,20,-0.1,0.1,0.4,20,0.0125,0.1,0.05
20,0.1125,0.125,1,1,4,0.2,0,0.0,0.22351219046430565,0.30021642165653256,0.7735011458147485,20,Serie A,2025-26,GW5-6,A_FULL,20,-0.1,0.2,0.45,20,-0.0125,0.1,0.15
20,0.2125,0.125,2,1,3,0.15,2,0.1,0.4064882199930723,0.2840212704620013,0.7801162577500147,20,Serie A,2025-26,GW5-6,B,,,,,,,,
20,0.1125,0.1375,1,1,4,0.2,0,0.0,0.23565141981840543,0.2948178337565552,0.8046135984502886,20,Serie A,2025-26,GW5-6,C,,,,,,,,
20,0.225,0.1375,2,1,3,0.15,2,0.1,0.3876180199769692,0.2788893902734517,0.7824145701512351,20,Serie A,2025-26,GW5-6,D_BASE,,,,,,,,
20,,,,,,,,,,,,,Serie A,2025-26,GW5-6,HARM,20,-0.1,0.2,0.45,20,-0.0125,0.1,0.15
19,0.18421052631578946,0.11842105263157894,3,1,3,0.15789473684210525,1,0.05263157894736842,0.3718567159946795,0.254919229139775,0.5675294260535415,19,Serie A,2025-26,GW7-8,A_FULL,19,0.07894736842105263,0.3684210526315789,0.21052631578947367,19,-0.013157894736842105,0.05263157894736842,0.10526315789473684
19,0.10526315789473684,0.11842105263157894,0,1,4,0.21052631578947367,1,0.05263157894736842,0.39549940186219273,0.21673891979416526,0.3586628141690544,19,Serie A,2025-26,GW7-8,B,,,,,,,,
19,0.18421052631578946,0.13157894736842105,3,1,3,0.15789473684210525,1,0.05263157894736842,0.37778449429095456,0.27357166746884787,0.5739932962609132,19,Serie A,2025-26,GW7-8,C,,,,,,,,
19,0.10526315789473684,0.13157894736842105,0,1,4,0.21052631578947367,1,0.05263157894736842,0.4128943999826712,0.24147317294447507,0.35816242438706913,19,Serie A,2025-26,GW7-8,D_BASE,,,,,,,,
19,,,,,,,,,,,,,Serie A,2025-26,GW7-8,HARM,19,0.07894736842105263,0.3684210526315789,0.21052631578947367,19,-0.013157894736842105,0.05263157894736842,0.10526315789473684
18,0.3194444444444444,0.2777777777777778,7,5,5,0.2777777777777778,3,0.16666666666666666,0.6442899143752004,0.46337954325050074,1.0098336742721443,18,Ligue 1,2024-25,GW1-2,A_FULL,18,0.125,0.5,0.16666666666666666,18,0.09722222222222222,0.5,0.16666666666666666
18,0.19444444444444445,0.2777777777777778,3,5,2,0.1111111111111111,0,0.0,0.3702569430565243,0.37579711694552975,0.7774244442532567,18,Ligue 1,2024-25,GW1-2,B,,,,,,,,
18,0.3194444444444444,0.18055555555555555,7,1,5,0.2777777777777778,3,0.16666666666666666,0.6706632585124349,0.37670133985431964,1.0902093153561556,18,Ligue 1,2024-25,GW1-2,C,,,,,,,,
18,0.20833333333333334,0.18055555555555555,3,1,2,0.1111111111111111,0,0.0,0.36585922813135,0.2889233531530722,0.6932042339343601,18,Ligue 1,2024-25,GW1-2,D_BASE,,,,,,,,
18,,,,,,,,,,,,,Ligue 1,2024-25,GW1-2,HARM,18,0.125,0.5,0.16666666666666666,18,0.09722222222222222,0.5,0.16666666666666666
18,0.25,0.18055555555555555,5,1,1,0.05555555555555555,0,0.0,0.3446681194982289,0.32348489555194415,0.8714400487894516,18,Ligue 1,2024-25,GW3-4,A_FULL,18,0.041666666666666664,0.4444444444444444,0.2777777777777778,18,0.0,0.1111111111111111,0.1111111111111111
18,0.20833333333333334,0.18055555555555555,3,1,2,0.1111111111111111,2,0.1111111111111111,0.419639455360147,0.23564903231264603,0.5237203376435621,18,Ligue 1,2024-25,GW3-4,B,,,,,,,,
18,0.25,0.18055555555555555,5,1,1,0.05555555555555555,0,0.0,0.3469646824052505,0.3039611678379279,0.9060316509453218,18,Ligue 1,2024-25,GW3-4,C,,,,,,,,
18,0.20833333333333334,0.18055555555555555,3,1,2,0.1111111111111111,2,0.1111111111111111,0.41861985169064625,0.22424982655355052,0.5071444159380193,18,Ligue 1,2024-25,GW3-4,D_BASE,,,,,,,,
18,,,,,,,,,,,,,Ligue 1,2024-25,GW3-4,HARM,18,0.041666666666666664,0.4444444444444444,0.2777777777777778,18,0.0,0.1111111111111111,0.1111111111111111
18,0.19444444444444445,0.18055555555555555,2,1,4,0.2222222222222222,3,0.16666666666666666,0.3465299471585432,0.19427056530423767,0.6131536318368744,18,Ligue 1,2024-25,GW5-6,A_FULL,18,0.013888888888888888,0.3333333333333333,0.2222222222222222,18,0.013888888888888888,0.2222222222222222,0.16666666666666666
18,0.18055555555555555,0.18055555555555555,2,1,3,0.16666666666666666,3,0.16666666666666666,0.3657727511900727,0.2195678045517513,0.6150170084380491,18,Ligue 1,2024-25,GW5-6,B,,,,,,,,
18,0.19444444444444445,0.16666666666666666,2,2,4,0.2222222222222222,3,0.16666666666666666,0.37216992977181956,0.16941205596085362,0.627478074392166,18,Ligue 1,2024-25,GW5-6,C,,,,,,,,
