n,mae_AH,mae_Tot,n_ah_ge_0_5,n_ah_ge_0_75,n_tot_ge_0_5,bias_AH,bias_Tot,mae_P1,mae_PX,mae_P2,n_1x2,gw,arm,scale
58,0.14224137931034483,0.1336206896551724,6,0,2,-0.09051724137931035,-0.01293103448275862,0.03941573826176757,0.016792493981499963,0.030767795127229883,58,4,scale_0.25,0.25
58,0.17672413793103448,0.15517241379310345,8,0,3,-0.09051724137931035,-0.034482758620689655,0.0453728838527578,0.017897658405710795,0.035359802480166194,58,4,scale_0.00,0.0
57,0.12719298245614036,0.14473684210526316,5,1,4,-0.03070175438596491,0.013157894736842105,0.029624052451098108,0.013747452452586987,0.027470055469929602,57,5,scale_1.00,1.0
57,0.10964912280701754,0.16228070175438597,2,0,3,-0.03070175438596491,-0.021929824561403508,0.024967109926962643,0.012838620651188274,0.02474872137185714,57,5,scale_0.50,0.5
57,0.12719298245614036,0.16228070175438597,3,0,5,-0.03070175438596491,-0.03070175438596491,0.026798103553098248,0.01358078801564359,0.027015836372774094,57,5,scale_0.25,0.25
57,0.12719298245614036,0.16666666666666666,3,0,5,-0.013157894736842105,-0.03508771929824561,0.031007840000194926,0.014810806809016063,0.03163060881744408,57,5,scale_0.00,0.0
58,0.1336206896551724,0.14224137931034483,5,1,4,-0.004310344827586207,0.021551724137931036,0.0326045216901532,0.014826258356105652,0.029020407323798066,58,6,scale_1.00,1.0
58,0.1336206896551724,0.15086206896551724,6,0,4,0.004310344827586207,-0.01293103448275862,0.031272018901487876,0.014838954514119321,0.029144757559952574,58,6,scale_0.50,0.5
58,0.17672413793103448,0.15517241379310345,8,0,5,0.01293103448275862,-0.034482758620689655,0.03653988608984153,0.01571623163177918,0.03451937642150015,58,6,scale_0.25,0.25
58,0.20689655172413793,0.15948275862068967,7,2,5,0.008620689655172414,-0.03017241379310345,0.04532652670166666,0.01723430952346308,0.04275433900346365,58,6,scale_0.00,0.0
58,0.16379310344827586,0.09482758620689655,7,0,2,-0.07758620689655173,0.0,0.040282615408796754,0.016694750332936024,0.03167493089802559,58,7,scale_1.00,1.0
58,0.12931034482758622,0.11637931034482758,5,1,3,-0.07758620689655173,-0.03017241379310345,0.03471074673823772,0.0158651220227747,0.027043504395443983,58,7,scale_0.50,0.5
58,0.1336206896551724,0.1336206896551724,5,1,4,-0.05603448275862069,-0.04741379310344827,0.03601414273829649,0.016378264756439127,0.02879512838850487,58,7,scale_0.25,0.25
58,0.15086206896551724,0.15086206896551724,4,1,5,-0.04741379310344827,-0.06465517241379311,0.04020549999334172,0.01739164903519375,0.03251267291928643,58,7,scale_0.00,0.0
58,0.1724137931034483,0.11206896551724138,6,0,1,-0.08620689655172414,0.0,0.03650503819423396,0.01608486449320401,0.03267184661042546,58,8,scale_1.00,1.0
58,0.15086206896551724,0.14224137931034483,4,0,2,-0.06465517241379311,-0.03017241379310345,0.034088653124962516,0.01618766019686172,0.029857599360337873,58,8,scale_0.50,0.5
58,0.16810344827586207,0.14224137931034483,5,0,2,-0.07327586206896551,-0.03879310344827586,0.036731115962016156,0.017064374763192357,0.033265785145433,58,8,scale_0.25,0.25
58,0.1896551724137931,0.14655172413793102,6,0,4,-0.08620689655172414,-0.0603448275862069,0.0421080807343861,0.018212185992579975,0.03863228066873685,58,8,scale_0.00,0.0
