mode,league,home,away,ah_mkt,tot_mkt,ah_pred,tot_pred,dah,dtot,o1,ox,o2,p1,px,p2,b1m,bxm,b2m,d1,dx,d2,overround_pct,lh,la,m1,mx,m2,dp1_pp,dpx_pp,dp2_pp
base,Premier League,Newcastle,Liverpool,0.5,3.25,0.25,3.0,-0.25,-0.25,3.42,3.9,1.99,0.3120431824400829,0.2516298782069266,0.4363269393529905,3.0482471527560135,3.780094594441228,2.179981698632628,-0.3717528472439864,-0.11990540555877205,0.18998169863262793,5.132048004304024,1.4152931750127709,1.7037453593654341,0.27381104507845355,0.23701275211043776,0.4891762028111088,3.8232137361629337,1.4617126096488853,-5.28492634581183
base,Premier League,Fulham,Chelsea,0.25,3.0,0.25,2.75,0.0,-0.25,3.31,3.8,2.06,0.2756162778260567,0.2616588476232938,0.46272487455064965,3.45312611463175,3.637323083945391,2.0568113341712717,0.14312611463174996,-0.16267691605460888,-0.003188665828728343,5.070959156610311,1.2183031658183099,1.6374094742251597,0.28399703074569893,0.2441610595893295,0.4718419096649715,-0.8380752919642243,1.749778803396429,-0.9117035114321881
base,Bundesliga,Bayern Munich,Stuttgart,-1.75,4.0,-1.75,4.0,0.0,0.0,1.284,6.41,7.77,0.7504322139610768,0.14612855701338195,0.10343922902554104,1.2529733126453244,6.434550208803256,9.090086477833328,-0.03102668735467562,0.02455020880325609,1.3200864778333283,6.352256832668557,3.0312819205372756,1.1261365629801512,0.7707916313653334,0.12831727119080993,0.10089109744385683,-2.035941740425651,1.781128582257202,0.254813158168421
base,Bundesliga,RB Leipzig,M'gladbach,-1.0,3.25,-1.0,3.25,0.0,0.0,1.531,4.64,5.32,0.626991642116186,0.20547628499017478,0.1675320728936394,1.509402355678527,4.605799942539218,5.648964077473968,-0.02159764432147293,-0.03420005746078125,0.3289640774739677,5.665503033242469,2.307065539595202,1.1402188161482356,0.6425797985636784,0.19275109557135411,0.16466910586496758,-1.5588156447492452,1.272518941882067,0.2862967028671809
base,Bundesliga,FC Koln,Hoffenheim,0.25,3.0,0.25,3.0,0.0,0.0,2.98,3.67,2.27,0.31760548966108015,0.2531341317622704,0.42926037857664956,3.00269334362915,3.7674567355501396,2.2216629749701267,0.022693343629149876,0.09745673555013967,-0.04833702502987336,4.8578668192588825,1.4556215657109215,1.716586105928192,0.3190183723172606,0.25452316911313433,0.426458458569605,-0.14128826561804475,-0.1389037350863931,0.2801920007044545
base,Bundesliga,Union Berlin,Ein Frankfurt,0.0,2.75,0.0,2.75,0.0,0.0,2.47,3.51,2.78,0.3873029735812339,0.27498779075531943,0.3377092356634465,2.46024752212775,3.465103590412797,2.821543151445051,-0.009752477872249976,-0.04489640958720287,0.04154315144505105,4.947081471125392,1.4535425442749084,1.3441827927306784,0.389664297001123,0.26690124910399216,0.343434453894885,-0.23613234198890942,0.8086541651327273,-0.5725218231438456
base,Bundesliga,Dortmund,Hamburg,-1.5,3.0,-1.5,3.25,0.0,0.25,1.327,5.5,8.19,0.7063885135815772,0.1825149302714529,0.11109655614697034,1.3386803731410104,5.181101828422936,8.511770947183381,0.011680373141010447,-0.31889817157706357,0.3217709471833814,5.749780655583225,2.4361629566069247,0.891568395495638,0.7456496434870806,0.15731452078662148,0.09703583572629786,-3.9261129905503456,2.5200409484831434,1.4060720420672481
base,Bundesliga,Freiburg,Werder Bremen,-0.5,2.75,-0.5,2.75,0.0,0.0,2.01,3.63,3.61,0.5088782153268985,0.25902374054280813,0.23209804413029345,1.8715251432968936,3.676799558467284,4.103345111886002,-0.13847485670310622,0.04679955846728401,0.49334511188600194,5.000284172416469,1.7264915555105826,1.1036694620456802,0.48441301658555236,0.2570135045873139,0.25857347882713366,2.4465198741346117,0.20102359554942106,-2.6475434696840217
base,Serie A,Udinese,Como,0.5,2.25,0.25,2.25,-0.25,0.0,4.5,3.52,1.826,0.2607333835259493,0.2892164374271678,0.45005017904688277,3.638982347126778,3.2806025425041714,2.1082186479004292,-0.8610176528732221,-0.23939745749582864,0.28221864790042916,5.395825727151027,1.041335074019029,1.4400025877594762,0.20097979582861164,0.26424210944326637,0.5347780947281221,5.975358769733768,2.4974327983901423,-8.472791568123933
base,Serie A,Parma,Cagliari,0.0,2.0,-0.25,2.25,-0.25,0.25,2.68,2.99,2.92,0.3990896636416523,0.2926771515123194,0.3082331848460284,2.386273772406902,3.2538829637566757,3.0896647214104735,-0.2937262275930981,0.2638829637566755,0.16966472141047362,5.004824231798355,1.3517712829040356,1.1604430493014501,0.3570034766303225,0.31739489748568445,0.32560162588399305,4.208618701132982,-2.471774597336507,-1.7368441037964644
