mode,league,home,away,ah_mkt,tot_mkt,ah_pred,tot_pred,dah,dtot,o1,ox,o2,p1,px,p2,b1m,bxm,b2m,d1,dx,d2,overround_pct,lh,la,home_days_since_prev,away_days_since_prev,home_d_aging,away_d_aging,d_corr_before_aging,d_corr_after_aging,home_s_aging,away_s_aging,m1,mx,m2,dp1_pp,dpx_pp,dp2_pp
full,Bundesliga,Union Berlin,Ein Frankfurt,0.0,2.75,0.0,2.75,0.0,0.0,2.47,3.51,2.78,0.3372668113348668,0.2673825901564446,0.3953505985086884,2.825244432722613,3.563662018938573,2.4101675440994677,0.35524443272261275,0.05366201893857303,-0.36983245590053215,4.947081471125392,1.3991031610375932,1.5298429136783698,88,96,0.36181730936009454,0.32987697769322355,-0.41465483116919144,-0.14809208630669907,0.36181730936009454,0.32987697769322355,0.389664297001123,0.26690124910399216,0.343434453894885,-5.239748566625618,0.04813410524524553,5.191614461380345
full,Bundesliga,Dortmund,Hamburg,-1.5,3.0,-1.5,3.25,0.0,0.25,1.327,5.5,8.19,0.7149790700470767,0.17759718424551652,0.10742374570740618,1.3225959731683419,5.3245688717487765,8.80278780745135,-0.004404026831658081,-0.17543112825122353,0.6127878074513511,5.749780655583225,2.4903194051700677,0.8943539039457927,96,94,0.32987697769322355,0.3375874865420475,0.16795714726999048,0.057373658432458646,0.32987697769322355,0.3375874865420475,0.7456496434870806,0.15731452078662148,0.09703583572629786,-3.06705734400039,2.028266345889504,1.038790998110832
full,Bundesliga,Freiburg,Werder Bremen,-0.5,2.75,-0.5,2.75,0.0,0.0,2.01,3.63,3.61,0.50733301054861,0.2570920428445358,0.23557494660685407,1.8772253235216776,3.704425715875799,4.042782938415539,-0.1327746764783222,0.07442571587579927,0.43278293841553905,5.000284172416469,1.7454033344643676,1.129889820811774,94,95,0.3375874865420475,0.3337099635425086,-0.019473142389550446,-0.00676801291647367,0.3375874865420475,0.3337099635425086,0.48441301658555236,0.2570135045873139,0.25857347882713366,2.291999396305766,0.00785382572218718,-2.299853222027959
full,Serie A,Udinese,Como,0.5,2.25,0.75,2.5,0.25,0.25,4.5,3.52,1.826,0.16746782198252097,0.2624212104284531,0.5701109675890258,5.6655909698078855,3.6155773323675318,1.6642447416333992,1.1655909698078855,0.09557733236753174,-0.16175525836660087,5.395825727151027,0.8325010068804845,1.712608191388985,87,80,0.36602142398640636,0.3968502629920499,-0.42205574090649556,-0.1633841154299412,0.36602142398640636,0.3968502629920499,0.20097979582861164,0.26424210944326637,0.5347780947281221,-3.3511973846090672,-0.18208990148132487,3.5332872860903697
full,Serie A,Parma,Cagliari,0.0,2.0,0.0,2.25,0.0,0.25,2.68,2.99,2.92,0.3260690799628521,0.3161265512584061,0.3578043687787422,2.9206608528943123,3.0125188580199773,2.661614223541441,0.24066085289431216,0.022518858019977106,-0.25838577645855887,5.004824231798355,1.1010310740444635,1.1648758443022942,80,87,0.3968502629920499,0.36602142398640636,-0.4912656508291535,-0.18855243272745925,0.3968502629920499,0.36602142398640636,0.3570034766303225,0.31739489748568445,0.32560162588399305,-3.093439666747039,-0.12683462272783386,3.220274289474917
full,Serie A,Genoa,Napoli,0.5,2.25,0.75,2.0,0.25,-0.25,4.98,3.24,1.84,0.14197749183060293,0.2798306464955482,0.5781918616738492,6.689346656453614,3.3939694317356452,1.6425977659375093,1.7093466564536133,0.15396943173564503,-0.1974022340624908,5.292344902961288,0.6464277867563457,1.5446296954624867,80,87,0.3968502629920499,0.36602142398640636,-0.4746782108511514,-0.1833507385239201,0.3968502629920499,0.36602142398640636,0.17952033125128242,0.28974249385467904,0.5307371748940385,-3.7542839420679486,-0.9911847359130865,4.745468677981068
full,Serie A,Torino,Milan,0.75,2.5,1.0,2.5,0.25,0.0,4.42,3.71,1.793,0.15221061954933673,0.2512766974257518,0.5965126830249114,6.2361439822709395,3.7775382630568157,1.5912609507762756,1.8161439822709395,0.06753826305681576,-0.20173904922372432,5.351060697199617,0.8082117988548556,1.797359463462794,80,87,0.3968502629920499,0.36602142398640636,-0.17841986972881702,-0.07087362334153699,0.3968502629920499,0.36602142398640636,0.20525118375134918,0.24950812676248738,0.5452406894861636,-5.304056420201245,0.17685706632644405,5.12719935387479
full,Serie A,Atalanta,Sassuolo,-1.0,2.75,-1.25,3.0,-0.25,0.25,1.529,4.38,5.76,0.639334647217561,0.21606492548319867,0.1446004272992405,1.4812587683722198,4.383034636451499,6.549220287955166,-0.0477412316277801,0.00303463645149904,0.7892202879551666,5.594385015026582,2.1595876028159973,0.9516340419347504,87,80,0.36602142398640636,0.3968502629920499,0.018435690923423877,0.006067904878351503,0.36602142398640636,0.3968502629920499,0.6435873761138187,0.2060773573834687,0.15033526650271273,-0.4252728896257718,0.9987568099729977,-0.5734839203472231
full,Serie A,Bologna,Lazio,-0.25,2.25,-0.25,2.25,0.0,0.0,2.15,3.23,3.62,0.43985557659519353,0.29673703855644173,0.26340738484836457,2.1632414369440944,3.206589289259467,3.6123277641187483,0.01324143694409452,-0.023410710740532803,-0.0076722358812517655,5.095689621223354,1.40522806054253,1.0365791647510596,87,87,0.36602142398640636,0.36602142398640636,-0.11271016966234412,-0.041254336797560645,0.36602142398640636,0.36602142398640636,0.45094806956767397,0.29158611173212357,0.2574658187002026,-1.1092492972480439,0.5150926824318169,0.5941566148161992
full,Serie A,Roma,Fiorentina,-1.0,2.5,-1.0,2.5,0.0,0.0,1.568,4.1,5.74,0.601520935578024,0.25005044173873897,0.14842862268323753,1.5744806735478227,3.787568145116687,6.380730823213119,0.0064806735478226685,-0.3124318548833127,0.6407308232131186,5.587356893977091,1.8032578177462097,0.794152843254214,87,94,0.36602142398640636,0.3375874865420475,0.42399660474089373,0.15210176152491828,0.36602142398640636,0.3375874865420475,0.6268761941099358,0.22209541030378216,0.15102839558628212,-2.5355258531911784,2.795503143495681,-0.2599772903044584
full,Ligue 1,Marseille,Strasbourg,-0.75,3.0,-0.75,3.0,0.0,0.0,1.757,4.06,4.19,0.5719796820339854,0.22719701279661178,0.20082330516940314,1.6585515997870324,4.175485430050039,4.723843260536474,-0.09844840021296752,0.11548543005003964,0.5338432605364734,5.4120866780359655,2.0394449314197334,1.1463547435018273,87,87,0.36602142398640636,0.36602142398640636,0.18177771175068763,0.06653453690397718,0.36602142398640636,0.36602142398640636,0.5568287384319701,0.22549105380525275,0.21768020776277705,1.5150943602015299,0.170595899135903,-1.6856902593373913
full,Ligue 1,Lens,Auxerre,-1.0,2.75,-1.25,2.75,-0.25,0.0,1.602,4.25,5.1,0.686640720169148,0.19907860543470965,0.11428067439614235,1.3796668898135183,4.758600075314338,8.289550895816738,-0.22233311018648183,0.5086000753143383,3.1895508958167387,5.559227436292868,2.1901551215494406,0.7906336443378574,91,87,0.3494924835447549,0.36602142398640636,0.27572829501704155,0.09617333516826189,0.3494924835447549,0.36602142398640636,0.6130454108420815,0.21348819842538308,0.17346639073253534,7.359530932706648,-1.4409592990673432,-5.918571633639298
full,Ligue 1,Toulouse,Lyon,0.25,2.75,0.25,2.5,0.0,-0.25,3.35,3.64,2.09,0.27974463512967035,0.27722424525187883,0.4430311196184511,3.3989571036229758,3.429858791428945,2.146214955719807,0.04895710362297567,-0.21014120857105523,0.05621495571980706,5.170163693337293,1.1388549551589169,1.4909100265073802,87,94,0.36602142398640636,0.3375874865420475,-0.36919399996670155,-0.12910229152147462,0.36602142398640636,0.3375874865420475,0.2799537133962946,0.2556227447606166,0.4644235418430889,-0.02090782666242519,2.1601500491262247,-2.139242222463783
full,Ligue 1,Nice,Lorient,-0.25,2.75,-0.25,2.5,0.0,-0.25,2.19,3.51,3.23,0.45788885090002573,0.26803830820815167,0.2740728408918231,2.077725270170491,3.5493703971057164,3.4712204001994404,-0.11227472982950903,0.03937039710571666,0.24122040019944047,5.111881268630913,1.583024012500147,1.1775484651213475,94,94,0.3375874865420475,0.3375874865420475,-0.32009505404816496,-0.10806008475066087,0.3375874865420475,0.3375874865420475,0.44219567263149934,0.26626771686850115,0.29153661049999957,1.5693178268526398,0.1770591339650518,-1.7463769608176472
full,Ligue 1,Angers,Lille,0.75,2.5,1.0,2.5,0.25,0.0,5.0,3.81,1.689,0.15035644394060152,0.24630629937237145,0.6033372566870273,6.3069236307155565,3.850029868240184,1.5717355406269051,1.3069236307155565,0.04002986824018384,-0.11726445937309493,5.45335030279297,0.7722327781755154,1.7716914285356788,87,87,0.36602142398640636,0.36602142398640636,-0.15963194207219134,-0.058428710750979024,0.36602142398640636,0.36602142398640636,0.17797547180284545,0.24178019262215095,0.5802443355750037,-2.7619027862243932,0.4526106750220499,2.3092921112023657
full,Ligue 1,Le Havre,Monaco,0.5,3.0,0.75,3.0,0.25,0.0,3.51,3.98,1.934,0.20177889352605255,0.234115070844125,0.5641060356298225,4.7054949475713315,4.055567890567522,1.6831402325864042,1.1954949475713317,0.07556789056752189,-0.2508597674135957,5.3219648003286935,1.1025543766974673,1.9572065271221877,94,87,0.3375874865420475,0.36602142398640636,0.02253084193347555,0.004950775621182981,0.3375874865420475,0.36602142398640636,0.26541315615486066,0.23099574020879368,0.5035911036363457,-6.363426262880811,0.3119330635331319,6.0514931993476795
full,Ligue 1,Paris SG,Rennes,-1.25,3.5,-1.5,3.5,-0.25,0.0,1.409,5.34,6.24,0.7161162696185182,0.16635178889843755,0.11753194148304387,1.320810763164265,5.68586657740514,8.047634240140908,-0.0881892368357351,0.3458665774051397,1.8076342401409082,5.724553580830638,2.696756638673268,1.0510755678643993,87,87,0.36602142398640636,0.36602142398640636,-0.5289877577893505,-0.19362085237743426,0.36602142398640636,0.36602142398640636,0.7006191271807205,0.16340247020214307,0.1359784026171365,1.549714243779765,0.2949318696294473,-1.8446461134092638
