league,home,away,mkt_1,mkt_x,mkt_2,ours_1,ours_x,ours_2,d1,dx,d2,overround_pct
Serie A,Torino,Milan,4.42,3.71,1.793,6.2361439822709395,3.7775382630568157,1.5912609507762756,1.8161439822709395,0.06753826305681576,-0.20173904922372432,5.351060697199617
Serie A,Atalanta,Sassuolo,1.529,4.38,5.76,1.4812587683722198,4.383034636451499,6.549220287955166,-0.0477412316277801,0.00303463645149904,0.7892202879551666,5.594385015026582
Serie A,Bologna,Lazio,2.15,3.23,3.62,2.1632414369440944,3.206589289259467,3.6123277641187483,0.01324143694409452,-0.023410710740532803,-0.0076722358812517655,5.095689621223354
Serie A,Roma,Fiorentina,1.568,4.1,5.74,1.5744806735478227,3.787568145116687,6.380730823213119,0.0064806735478226685,-0.3124318548833127,0.6407308232131186,5.587356893977091
Ligue 1,Marseille,Strasbourg,1.757,4.06,4.19,1.6585515997870324,4.175485430050039,4.723843260536474,-0.09844840021296752,0.11548543005003964,0.5338432605364734,5.4120866780359655
Ligue 1,Lens,Auxerre,1.602,4.25,5.1,1.3796668898135183,4.758600075314338,8.289550895816738,-0.22233311018648183,0.5086000753143383,3.1895508958167387,5.559227436292868
Ligue 1,Toulouse,Lyon,3.35,3.64,2.09,3.3989571036229758,3.429858791428945,2.146214955719807,0.04895710362297567,-0.21014120857105523,0.05621495571980706,5.170163693337293
Ligue 1,Nice,Lorient,2.19,3.51,3.23,2.077725270170491,3.5493703971057164,3.4712204001994404,-0.11227472982950903,0.03937039710571666,0.24122040019944047,5.111881268630913
Ligue 1,Angers,Lille,5.0,3.81,1.689,6.3069236307155565,3.850029868240184,1.5717355406269051,1.3069236307155565,0.04002986824018384,-0.11726445937309493,5.45335030279297
Ligue 1,Le Havre,Monaco,3.51,3.98,1.934,4.7054949475713315,4.055567890567522,1.6831402325864042,1.1954949475713317,0.07556789056752189,-0.2508597674135957,5.3219648003286935
Ligue 1,Paris SG,Rennes,1.409,5.34,6.24,1.320810763164265,5.68586657740514,8.047634240140908,-0.0881892368357351,0.3458665774051397,1.8076342401409082,5.724553580830638
